,id,picture_url,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_picture_url,host_total_listings_count,host_verifications,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,minimum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month,picture
0,241032,https://a1.muscache.com/ac/pictures/67560560/cfe47d69_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,956883,2011-08-11,within a few hours,96%,100%,f,"https://a0.muscache.com/ac/users/956883/profile_pic/1318103129/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",3,"['email', 'phone', 'reviews', 'kba']",t,47.636289038357184,-122.37102519997765,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,"{TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Heating,Family/Kid Friendly,Washer,Dryer}",$85.00,2,1,207,2011-11-01,2016-01-02,95,10,10,10,10,9,10,moderate,4.07,2557c746-e566-11e8-bb6a-f21898466bab.jpg
1,953595,https://a0.muscache.com/ac/pictures/14409893/f8e3ed8d_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,5177328,2013-02-21,within an hour,98%,100%,t,"https://a0.muscache.com/ac/users/5177328/profile_pic/1361540767/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",6,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,47.63912312136253,-122.36566646439582,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,"{TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Buzzer/Wireless Intercom,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials}",$150.00,1,2,43,2013-08-19,2015-12-29,96,10,10,10,10,10,10,strict,1.48,256a03f0-e566-11e8-8feb-f21898466bab.jpg
2,3308979,https://a2.muscache.com/ac/pictures/b4324e0f-a41b-4614-85a5-0e58c1983b99.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,16708587,2014-06-12,within a few hours,67%,100%,f,"https://a1.muscache.com/ac/users/16708587/profile_pic/1428941043/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",2,"['email', 'phone', 'google', 'reviews', 'jumio']",t,47.629724131577355,-122.3694831756176,House,Entire home/apt,11,4.5,5,7,Real Bed,"{TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Pets Allowed,Pets live on this property,Dog(s),Cat(s),Hot Tub,Indoor Fireplace,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Essentials,Shampoo}",$975.00,10,4,20,2014-07-30,2015-09-03,97,10,10,10,10,10,10,strict,1.15,2572a968-e566-11e8-ba82-f21898466bab.jpg
3,278830,https://a1.muscache.com/ac/pictures/6120468/b0a55f2e_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,1452570,2011-11-29,within an hour,100%,,f,"https://a0.muscache.com/ac/users/1452570/profile_pic/1322552171/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,47.63291840276724,-122.37247063402224,House,Entire home/apt,6,2.0,3,3,Real Bed,"{TV,Cable TV,Internet,Wireless Internet,Kitchen,Heating,Family/Kid Friendly,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Fire Extinguisher,Essentials,Shampoo}",$450.00,6,1,38,2012-07-10,2015-10-24,92,9,9,10,10,9,9,strict,0.89,257abd3a-e566-11e8-b6fc-f21898466bab.jpg
4,5956968,https://a2.muscache.com/ac/pictures/84791950/f83d59ea_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,326758,2010-12-25,,,,f,"https://a2.muscache.com/ac/users/326758/profile_pic/1433658977/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,47.630525482401936,-122.36617406518856,House,Private room,2,1.0,1,1,Real Bed,"{Wireless Internet,Free Parking on Premises,Heating,Smoke Detector,Essentials,Shampoo}",$120.00,1,1,17,2015-06-11,2015-09-28,95,10,10,10,10,10,10,strict,2.45,2584113a-e566-11e8-a17e-f21898466bab.jpg
5,1909058,https://a2.muscache.com/ac/pictures/26505642/2c3a36d7_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2497928,2012-05-30,within an hour,100%,100%,t,"https://a0.muscache.com/ac/users/2497928/profile_pic/1384021985/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'reviews', 'kba']",t,47.636605445320065,-122.36851905844937,House,Private room,2,1.0,1,1,Real Bed,"{Wireless Internet,Free Parking on Premises,Heating,Smoke Detector,First Aid Kit,Essentials,Shampoo}",$80.00,1,3,58,2014-01-27,2015-12-07,99,10,10,10,10,10,10,moderate,2.46,258d75f6-e566-11e8-ab48-f21898466bab.jpg
6,856550,https://a2.muscache.com/ac/pictures/83538305/d78f8dbd_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,4016632,2012-10-30,within an hour,100%,100%,t,"https://a1.muscache.com/ac/users/4016632/profile_pic/1384724659/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",5,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",t,47.640160541214655,-122.37585597885769,Cabin,Private room,2,1.0,1,1,Real Bed,"{Wireless Internet,Pets live on this property,Dog(s),Heating,Family/Kid Friendly,Essentials,Shampoo}",$60.00,1,2,173,2013-01-03,2016-01-01,97,10,10,10,10,9,10,strict,4.73,2595ca58-e566-11e8-a7f9-f21898466bab.jpg
7,4948745,https://a0.muscache.com/ac/pictures/85453284/d627f681_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,2166277,2012-04-18,,,100%,f,"https://a1.muscache.com/ac/users/2166277/profile_pic/1433375991/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",t,47.632410299829,-122.35721606914028,Apartment,Private room,2,1.0,1,1,Real Bed,"{TV,Cable TV,Internet,Wireless Internet,Kitchen,Breakfast,Indoor Fireplace,Heating,Washer,Dryer,Smoke Detector,First Aid Kit,Fire Extinguisher,Essentials,Shampoo}",$90.00,1,3,8,2015-06-22,2015-08-17,97,10,9,10,9,10,10,strict,1.22,259fad8c-e566-11e8-b479-f21898466bab.jpg
8,2493658,https://a2.muscache.com/ac/pictures/33003258/f5cb2139_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,5177328,2013-02-21,within an hour,98%,100%,t,"https://a0.muscache.com/ac/users/5177328/profile_pic/1361540767/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",6,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,47.63749172022628,-122.3668885909212,Apartment,Entire home/apt,4,1.0,1,1,Real Bed,"{TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Buzzer/Wireless Intercom,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials}",$150.00,1,2,32,2014-04-27,2015-12-20,97,10,10,10,10,10,9,strict,1.55,25a8cc34-e566-11e8-b4a0-f21898466bab.jpg
9,175576,https://a0.muscache.com/ac/pictures/2788698/87bbe718_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,239585,2010-09-19,within a few hours,100%,100%,t,"https://a2.muscache.com/ac/users/239585/profile_pic/1311271505/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,"['email', 'phone', 'reviews', 'kba']",t,47.63548170841016,-122.35847776162176,House,Entire home/apt,2,1.0,1,1,Real Bed,"{TV,Cable TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace}",$95.00,2,3,181,2011-07-21,2015-11-25,97,10,10,10,10,10,10,moderate,3.33,25b2c96e-e566-11e8-a3c2-f21898466bab.jpg
