"id","picture_url","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_picture_url","host_total_listings_count","host_verifications","host_identity_verified","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","price","guests_included","minimum_nights","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","cancellation_policy","reviews_per_month"
"3075044","https://a1.muscache.com/im/pictures/39327812/df0f1aab_original.jpg?aki_policy=large","2572247","2012-06-07","within an hour","100%","100%","f","https://a2.muscache.com/im/users/2572247/profile_pic/1442235897/original.jpg?aki_policy=profile_x_medium","1","['email', 'phone', 'facebook', 'linkedin', 'amex', 'reviews', 'jumio']","t","42.286240821867416","-71.13437396457161","Apartment","Private room","2","1.0","1","1","Real Bed","{TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Pets Allowed,Pets live on this property,Dog(s),Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher,Essentials,Shampoo,Lock on Bedroom Door,Hangers,Hair Dryer,Iron}","$65.00","0","2","36","2014-06-01","2016-08-13","94","10","9","10","10","9","9","moderate","1.30"
"6976","https://a2.muscache.com/im/pictures/6ae8335d-91e6-4598-b380-3129db624df3.jpg?aki_policy=large","16701","2009-05-11","within a few hours","100%","88%","t","https://a2.muscache.com/im/users/16701/profile_pic/1393434148/original.jpg?aki_policy=profile_x_medium","1","['email', 'phone', 'reviews', 'jumio']","t","42.2924378866568","-71.13576525374667","Apartment","Private room","2","1.0","1","1","Real Bed","{TV,Cable TV,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Essentials,Shampoo,Lock on Bedroom Door,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","$65.00","1","3","41","2009-07-19","2016-08-05","98","10","9","10","10","9","10","moderate","0.47"
"1436513","https://a2.muscache.com/im/pictures/39764190-16f9-4726-bf6a-2027ff35865c.jpg?aki_policy=large","6031442","2013-04-21","within a few hours","100%","50%","f","https://a2.muscache.com/im/pictures/5d430cde-7eb2-4ab7-980a-ef07781cd38c.jpg?aki_policy=profile_x_medium","1","['email', 'phone', 'reviews']","f","42.28110618827366","-71.12102117350553","House","Private room","4","1.0","1","2","Real Bed","{TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Gym,Breakfast,Indoor Fireplace,Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials,Shampoo,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace}","$75.00","2","1","1","2016-08-28","2016-08-28","100","10","10","10","10","10","10","moderate","1"
"7651065","https://a1.muscache.com/im/pictures/97154760/85d71c5c_original.jpg?aki_policy=large","15396970","2014-05-11","within an hour","100%","100%","t","https://a0.muscache.com/im/users/15396970/profile_pic/1399856223/original.jpg?aki_policy=profile_x_medium","1","['email', 'phone', 'reviews', 'kba']","t","42.28451220982457","-71.1362580468337","House","Private room","2","1.5","1","2","Real Bed","{Internet,Wireless Internet,Air Conditioning,Kitchen,Breakfast,Heating,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Essentials,Shampoo,Hangers,Hair Dryer,Iron}","$79.00","1","2","29","2015-08-18","2016-09-01","99","10","10","10","10","9","10","flexible","2.25"
"12386020","https://a2.muscache.com/im/pictures/930c78b2-fc34-4c12-990c-e517179fb209.jpg?aki_policy=large","64200298","2016-03-23","within a few hours","100%","95%","t","https://a2.muscache.com/im/pictures/ab20c2a0-8e32-441a-9c04-b60d618a42c2.jpg?aki_policy=profile_x_medium","2","['email', 'phone', 'reviews', 'kba']","t","42.29168980076903","-71.13189277475922","Condominium","Private room","2","1.0","1","1","Real Bed","{Cable TV,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Pets live on this property,Cat(s),Heating,Family/Kid Friendly,Smoke Detector,Carbon Monoxide Detector,Hangers,Iron}","$75.00","1","2","8","2016-04-20","2016-08-28","100","10","10","10","10","9","10","flexible","1.70"
"5706985","https://a1.muscache.com/im/pictures/103587085/80c282b5_original.jpg?aki_policy=large","6570877","2013-05-25","within an hour","98%","96%","f","https://a2.muscache.com/im/users/6570877/profile_pic/1405383234/original.jpg?aki_policy=profile_x_medium","5","['email', 'phone', 'reviews', 'jumio', 'kba']","t","42.28138962623448","-71.13119041987277","Apartment","Entire home/apt","3","1.0","1","2","Real Bed","{TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Heating,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Fire Extinguisher,Essentials,Shampoo,24-Hour Check-in}","$100.00","1","1","57","2015-07-08","2016-09-01","90","10","10","10","10","9","9","strict","4.00"
"2843445","https://a2.muscache.com/im/pictures/df3936c4-c9f8-47f3-80ab-8b0ced4c1c5e.jpg?aki_policy=large","3164508","2012-08-05","within a few hours","100%","100%","t","https://a2.muscache.com/im/users/3164508/profile_pic/1344187296/original.jpg?aki_policy=profile_x_medium","2","['email', 'phone', 'facebook', 'reviews', 'kba']","t","42.28194609607024","-71.14102161135577","House","Private room","2","2.0","1","1","Real Bed","{TV,Internet,Wireless Internet,Air Conditioning,Free Parking on Premises,Breakfast,Pets live on this property,Dog(s),Indoor Fireplace,Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials,Shampoo,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace}","$75.00","1","1","67","2014-05-18","2016-09-04","96","10","10","10","10","10","10","moderate","2.38"
"753446","https://a2.muscache.com/im/pictures/b4dd9052-4914-4c78-8967-4905ebe1b140.jpg?aki_policy=large","3962517","2012-10-24","within an hour","100%","100%","t","https://a2.muscache.com/im/pictures/28ded429-6cd7-4fd9-b1dc-78f13f2cfd2a.jpg?aki_policy=profile_x_medium","1","['email', 'phone', 'facebook', 'reviews', 'kba']","t","42.28587763920193","-71.12490955692161","Condominium","Private room","2","1.0","1","2","Real Bed","{Wireless Internet,Pets live on this property,Cat(s),Heating,Family/Kid Friendly,Smoke Detector,Carbon Monoxide Detector,Shampoo,Hangers,Hair Dryer}","$58.00","2","2","65","2015-09-10","2016-08-30","96","10","10","10","10","9","10","moderate","5.36"
"849408","https://a2.muscache.com/im/pictures/35703100/8425e941_original.jpg?aki_policy=large","4434391","2012-12-18","within an hour","100%","100%","t","https://a2.muscache.com/im/users/4434391/profile_pic/1361980516/original.jpg?aki_policy=profile_x_medium","2","['email', 'phone', 'facebook', 'reviews', 'kba']","t","42.28882028358453","-71.13951010210121","Apartment","Entire home/apt","5","1.0","2","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Fire Extinguisher,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace}","$229.00","4","4","33","2014-01-02","2016-05-27","94","10","9","10","10","9","9","strict","1.01"
"12023024","https://a2.muscache.com/im/pictures/cc305065-5c53-404e-b1a4-359a32ec254b.jpg?aki_policy=large","64331842","2016-03-24","within a day","83%","100%","f","https://a2.muscache.com/im/pictures/00a17c83-1e9b-4261-ae3a-fd3a1b17e2e4.jpg?aki_policy=profile_x_medium","1","['email', 'phone', 'reviews']","f","42.286448197788786","-71.13932538848039","House","Private room","2","1.0","1","1","Real Bed","{TV,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Safety Card,Essentials,Lock on Bedroom Door,Hair Dryer,translation missing: en.hosting_amenity_50}","$60.00","1","1","1","2016-06-17","2016-06-17","80","10","8","8","10","10","10","flexible","0.36"
