host_is_superhost,host_total_listings_count,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,guests_included,minimum_nights,cancellation_policy,price,smoking allowed,air conditioning,suitable for events,24-hour check-in,internet,essentials,heating,family/kid friendly,tv,elevator in building,hot tub,doorman,free parking on premises,indoor fireplace,hair dryer,wireless internet,gym,fire extinguisher,breakfast,washer / dryer,iron,other pet(s),dryer,kitchen,buzzer/wireless intercom,washer,wheelchair accessible,first aid kit,safety card,lock on bedroom door,pool,laptop friendly workspace,cable tv,hangers,smoke detector,pets live on this property,shampoo,cat(s),carbon monoxide detector,pets allowed,dog(s)
1,3,43,3,2,4,1.0,1,1,1,2,1,2,85.0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,6,43,3,2,4,1.0,1,1,1,1,2,0,150.0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
1,2,43,13,2,11,4.5,5,7,1,10,4,0,975.0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
1,1,43,3,2,3,1.0,0,2,1,1,1,1,100.0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
1,2,43,13,2,6,2.0,3,3,1,6,1,0,450.0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,1,43,13,1,2,1.0,1,1,1,1,1,0,120.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,43,13,1,2,1.0,1,1,1,1,3,2,80.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,5,43,1,1,2,1.0,1,1,1,1,2,0,60.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,1,43,3,1,2,1.0,1,1,1,1,3,0,90.0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
0,6,43,3,2,4,1.0,1,1,1,1,2,0,150.0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,43,13,2,2,1.0,1,1,1,2,3,2,95.0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0
1,1,43,13,2,2,1.0,1,1,1,1,3,0,99.0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
0,1,43,3,2,4,1.0,2,3,1,1,3,2,245.0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
1,1,43,13,2,5,1.0,2,3,1,4,2,0,165.0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
1,1,43,13,2,16,3.5,6,15,1,8,3,0,461.0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
