"id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_verifications","host_identity_verified","neighbourhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","guests_included","minimum_nights","cancellation_policy","price"
"17806627","121693291","2017-03-20","within an hour","100%","","f","1.0","{email, phone, reviews}","f","Mott Haven","Apartment","Private room","2","1.0","1.0","1.0","Real Bed","{Wireless Internet,Kitchen,Elevator,Heating,Washer,Dryer,Essentials,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","2","strict","$70.00"
"855462","4469832","2012-12-22","within a few hours","100%","","f","2.0","{email, phone, reviews, jumio, government_id}","t","Lower East Side","Apartment","Private room","2","1.0","1.0","1.0","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Heating,Hangers}","1","1","strict","$75.00"
"2674784","13524368","2014-03-25","within an hour","100%","","f","4.0","{email, phone, reviews, jumio, offline_government_id, selfie, government_id, identity_manual}","f","Windsor Terrace","Apartment","Entire home/apt","4","1.0","1.0","1.0","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox,Children’s books and toys,Babysitter recommendations,Pack ’n Play/travel crib,Room-darkening shades,Children’s dinnerware}","2","1","strict","$145.00"
"5162420","7601931","2013-07-20","within a day","100%","","f","1.0","{email, phone, reviews, kba, work_email}","t","East Village","Apartment","Entire home/apt","2","1.0","1.0","1.0","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Laptop friendly workspace}","2","1","moderate","$220.00"
"6596747","4654046","2013-01-10","within an hour","100%","","t","1.0","{email, phone, reviews, jumio}","t","West Village","Apartment","Private room","1","1.0","1.0","1.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Pets live on this property,Elevator,Buzzer/wireless intercom,Heating,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","3","strict","$105.00"
"20874763","149882041","2017-09-09","within an hour","100%","","f","1.0","{email, phone, reviews, jumio, offline_government_id, selfie, government_id, identity_manual}","f","Vinegar Hill","Apartment","Private room","2","1.0","1.0","1.0","Real Bed","{Wireless Internet,Air conditioning,Kitchen,Gym,Elevator,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance}","2","1","flexible","$100.00"
"20482231","10653881","2015-12-01","within an hour","100%","","f","1.0","{email, phone, linkedin, reviews, kba}","t","Park Slope","Apartment","Private room","2","1.0","1.0","1.0","Real Bed","{Wireless Internet,Kitchen,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Private living room,Host greets you}","1","1","moderate","$70.00"
"8272327","38465372","2015-07-14","within a few hours","100%","","t","1.0","{email, phone, reviews, jumio}","f","Cobble Hill","House","Entire home/apt","2","1.0","0.0","1.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Bathtub,Room-darkening shades}","1","3","moderate","$225.00"
"12603268","32321433","2015-05-01","within an hour","100%","","f","5.0","{email, phone, reviews, jumio}","t","East Harlem","Apartment","Private room","2","1.5","1.0","2.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Pets allowed,Pets live on this property,Dog(s),Elevator,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Bathtub}","1","1","flexible","$91.00"
"1304952","7073209","2013-06-23","within a day","67%","","f","2.0","{email, phone, google, jumio, government_id}","t","Fort Greene","Townhouse","Private room","2","1.0","1.0","1.0","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Dog(s),Indoor fireplace,Laptop friendly workspace,translation missing: en.hosting_amenity_50}","1","2","strict","$120.00"
"16553353","48983104","2015-11-13","within an hour","100%","","f","3.0","{email, phone, reviews, kba}","t","Middle Village","House","Private room","1","1.0","1.0","1.0","Real Bed","{Internet,Wireless Internet,Kitchen,Free parking on premises,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator}","1","2","strict","$50.00"
"3673938","4578923","2013-01-03","within a day","90%","","f","1.0","{email, phone, reviews, kba, work_email}","t","Bedford-Stuyvesant","Apartment","Private room","1","1.0","1.0","1.0","Real Bed","{Wireless Internet,Kitchen,Heating,Essentials}","1","5","moderate","$50.00"
"3511898","17682043","2014-07-05","","","","f","1.0","{email, phone, reviews, jumio}","t","Greenpoint","Apartment","Entire home/apt","2","1.0","2.0","2.0","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,First aid kit,Fire extinguisher,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_50}","2","20","strict","$85.00"
"1390964","1651080","2012-01-25","","","","f","1.0","{email, phone, facebook, reviews, kba}","t","Mott Haven","Apartment","Entire home/apt","2","1.5","1.0","1.0","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace}","2","7","strict","$180.00"
