"id","picture_url","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_picture_url","host_total_listings_count","host_verifications","host_identity_verified","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","guests_included","minimum_nights","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","cancellation_policy","reviews_per_month","price"
"20702398","https://a0.muscache.com/im/pictures/7c0a47b7-5d23-4304-9474-78c24ba9b3d7.jpg?aki_policy=large","1457680","2011-11-30","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/user/389c4027-4e61-4585-a4d3-3cb86c430fc6.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews}","f","40.84919061792365","-73.78650889036722","House","Private room","2","1.0","1","1","Real Bed","{Wireless Internet,Air conditioning,Kitchen,Breakfast,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Hangers,Hair dryer}","1","1","2","2017-09-17","2017-10-01","100","10","10","10","10","10","10","moderate","2","$50.00"
"6627449","https://a0.muscache.com/im/pictures/83539171/13fe7e85_original.jpg?aki_policy=large","13886510","2014-04-04","within an hour","100%","N/A","f","https://a0.muscache.com/im/users/13886510/profile_pic/1433129533/original.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, kba}","t","40.84977456920603","-73.78660938743727","Apartment","Entire home/apt","3","1.0","1","1","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron}","1","3","21","2015-07-04","2017-09-26","95","10","10","10","10","10","10","strict","0.77","$125.00"
"5557381","https://a0.muscache.com/im/pictures/85805287/7c6b38ae_original.jpg?aki_policy=large","28811542","2015-03-05","within an hour","100%","N/A","t","https://a0.muscache.com/im/pictures/43cb9adc-f198-47cb-ba44-8a737440e825.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, jumio}","t","40.850023814160465","-73.78932759494228","House","Private room","4","1.0","1","1","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Gym,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Lock on bedroom door,Laptop friendly workspace,translation missing: en.hosting_amenity_50}","2","3","94","2015-05-25","2017-07-31","97","10","10","10","10","10","10","moderate","3.27","$69.00"
"19609887","https://a0.muscache.com/im/pictures/8230374d-4ce8-4600-8f2f-7dd0de60c009.jpg?aki_policy=large","137892083","2017-06-30","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/6b66e2d2-ba98-4293-9f3d-676b2730dd13.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews}","f","40.85197955192494","-73.78930422859898","Apartment","Entire home/apt","7","1.0","2","5","Real Bed","{TV,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Essentials,Lock on bedroom door,Hangers,Hair dryer,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony}","2","2","3","2017-08-07","2017-09-24","100","10","10","10","10","10","10","flexible","1.58","$150.00"
"7949480","https://a0.muscache.com/im/pictures/001d1cb0-6ef2-4074-bd39-e486ee58d00f.jpg?aki_policy=large","119445","2010-05-06","within an hour","100%","N/A","t","https://a0.muscache.com/im/pictures/2de30fe4-bebe-4145-a86a-b8a8a970078d.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, jumio}","t","40.85205377887418","-73.78867963460137","House","Private room","2","1.0","1","1","Real Bed","{Cable TV,Wireless Internet,Air conditioning,Free parking on premises,Breakfast,Pets live on this property,Cat(s),Indoor fireplace,Heating,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Garden or backyard,Host greets you}","1","1","31","2016-01-18","2017-09-01","100","10","10","10","10","10","10","moderate","1.49","$101.00"
"9147025","https://a0.muscache.com/im/pictures/abbac002-c8a5-44da-9405-4897e73667c6.jpg?aki_policy=large","403032","2011-02-21","within an hour","100%","N/A","t","https://a0.muscache.com/im/pictures/dc275952-e2d7-463e-93a5-994fa8c31e04.jpg?aki_policy=profile_x_medium","1","{email, phone, facebook, reviews}","f","40.8448695719099","-73.78954050381778","House","Entire home/apt","2","1.0","0","1","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox}","1","2","60","2015-12-26","2017-10-01","97","10","10","10","10","10","10","moderate","2.78","$125.00"
"1936633","https://a0.muscache.com/im/pictures/75425672/4b34161a_original.jpg?aki_policy=large","10018391","2013-11-14","a few days or more","33%","N/A","f","https://a0.muscache.com/im/users/10018391/profile_pic/1384470843/original.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews}","f","40.8525820421575","-73.78762098442378","Apartment","Entire home/apt","2","1.0","1","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron}","2","3","49","2014-01-21","2017-05-23","99","10","10","10","10","10","10","strict","1.09","$115.00"
"19758402","https://a0.muscache.com/im/pictures/6fcac0e0-f6a2-423d-94f6-38f3a3b9051f.jpg?aki_policy=large","139415761","2017-07-09","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/aa092da9-5a7b-429e-8f54-29f194632c06.jpg?aki_policy=profile_x_medium","1","{phone, reviews}","f","40.8530609020971","-73.78948148583973","House","Entire home/apt","4","2.0","3","3","Real Bed","{Wireless Internet,Air conditioning,Kitchen,Breakfast,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Hangers,Hair dryer,Laptop friendly workspace,Private entrance,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Stove,Garden or backyard,Waterfront,Beachfront}","4","2","9","2017-07-23","2017-09-25","87","8","8","10","9","9","9","moderate","3.70","$62.00"
"11675715","https://a0.muscache.com/im/pictures/55160e33-921f-432f-a425-e9110ff4359c.jpg?aki_policy=large","56714504","2016-01-30","within an hour","100%","N/A","t","https://a0.muscache.com/im/pictures/deff1bc3-aafc-4a3a-83c8-25558598bfe2.jpg?aki_policy=profile_x_medium","1","{email, phone, reviews, jumio, offline_government_id, kba, government_id, work_email}","t","40.851391475520586","-73.78413886754988","House","Entire home/apt","4","1.0","1","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace}","2","1","110","2016-03-21","2017-09-11","98","10","10","10","10","10","10","flexible","5.88","$85.00"
"3400359","https://a0.muscache.com/im/pictures/61044713/5e8a90f8_original.jpg?aki_policy=large","16286162","2014-06-02","within an hour","100%","N/A","f","https://a0.muscache.com/im/pictures/9f6cea33-8e0f-4d24-884d-9d003f269cd6.jpg?aki_policy=profile_x_medium","4","{email, phone, reviews, kba}","t","40.86676961474904","-73.8593779298868","House","Private room","2","1.5","1","1","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Garden or backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Wide hallway clearance,Well-lit path to entrance,Wide doorway,Accessible-height bed,Step-free access}","1","2","72","2014-07-05","2017-09-21","91","9","9","10","10","9","9","strict","1.82","$44.00"
