"id","description","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_verifications","host_identity_verified","neighbourhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","guests_included","minimum_nights","number_of_reviews","review_scores_rating","cancellation_policy","reviews_per_month","price"
"17806627","It is a  modern 2 bedroom apartment with a terrace. I stay in one bedroom and share the rest of the apartment with my guests. I am very easy going and always avaiable to help with any questions.  This  5-floor property has a new elevator and washer and dryer in the building for your convenience.  There is a subway station a block and half away or about a 2 minutes walk away. And the ride to the beginning of Manhattan takes about 5 mins and 20 mins for you to get to the city center.","121693291","2017-03-20","within an hour","100%","","f","1.0","{email, phone, reviews}","f","Mott Haven","Apartment","Private room","2","1.0","1.0","1.0","Real Bed","{Wireless Internet,Kitchen,Elevator,Heating,Washer,Dryer,Essentials,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","2","21.0","90.0","strict","3.33","$70.00"
"855462","1BR in charming and spacious Downtown Apt available. The Building is right in the heart of the Lower Eastside, close to all the bars, cafes, shops and restaurants. It's facing a yard so you'll hardly hear any street noise. Also very close to public transportation. The F/J and M train are just 1 1/2 blocks away. We have wireless internet, a TV/ DVD player and a cleaner that comes every 2 weeks. I only rent the room to respectful, mature and clean people that treat my place with care as it's my home. Am also open to rent more long term.","4469832","2012-12-22","within a few hours","100%","","f","2.0","{email, phone, reviews, jumio, government_id}","t","Lower East Side","Apartment","Private room","2","1.0","1.0","1.0","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Heating,Hangers}","1","1","13.0","100.0","strict","0.4","$75.00"
"2674784","Newly Renovated Clean & Modern 1 Bed/1 Bath, 700 sqf apartment in Windsor Terrace near F/G subway; Prospect Park; quiet street. 2 night minimum. Our ground floor apartment is a perfect stay for visiting family and friends.  We are located on a quiet street in Windsor Terrace, Brooklyn.  The apartment is child and pet friendly.  Clean and uncluttered, with a full length mirror, microwave, toaster, water boiler and mini fridge--all furnishings are new.  We strive to provide our guests with comfort, convenience, and extra pleasantries. Linens and towels are provided; complimentary teas and coffee packs; hairdryer, iron, and complimentary soap/shampoo and lotion.   Sleeping Accommodations: Ideal for 2 adults plus 2 children OR 3 adults.  Queen bed with foam top, small futon fits two small children or petite adult.  Pack n Play Crib upon request. We reside with our children in the house above. TV: We have basic cable channels.  APPLE TV: Access to a movie and TV library of approximately 500","13524368","2014-03-25","within an hour","100%","","f","4.0","{email, phone, reviews, jumio, offline_government_id, selfie, government_id, identity_manual}","f","Windsor Terrace","Apartment","Entire home/apt","4","1.0","1.0","1.0","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox,Children’s books and toys,Babysitter recommendations,Pack ’n Play/travel crib,Room-darkening shades,Children’s dinnerware}","2","1","140.0","94.0","strict","3.31","$145.00"
"5162420","Spacious prime East Village location. The apartment is filled with funky art and objects collected when traveling around the world -- you're welcome to enjoy the space as a launching board into the East Village and all of NY. Enjoy a classic-NYC space that's in walking distance to some of city's best restaurants, galleries, parks, and nightlife. The East Village is a must see during your time in  NYC. One of NYC's most charming and fun neighborhoods, you can stay right in the heart of it all. Also, in walking distance to the West Village, Lower East Side, and Alphabet City. The apartment offers a spacious area with lots of natural light (and good blinds if you'd like to sleep in). Space includes a living room / dining room area, queen size bed in the bedroom, a fully equipped kitchen, and bathroom. In close proximity to several subway lines and great attractions, the apartment itself stays fairly quiet for you to get a good night's rest. The apartment is located in a 5-story charming b","7601931","2013-07-20","within a day","100%","","f","1.0","{email, phone, reviews, kba, work_email}","t","East Village","Apartment","Entire home/apt","2","1.0","1.0","1.0","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Laptop friendly workspace}","2","1","16.0","99.0","moderate","0.57","$220.00"
"6596747","Our charming W Village apt can be yours! Located in the most popular historic area of NYC, this bright pre-war 2 bedroom is close to restaurants, bars, theatres, shopping, and all subway lines. All amenities provided. Must like animals. No guests. No smoking. Quintessential old NYC apt, charming, light, courtyard, character, Internet, AppleTV, historical district, treelined/cobblestone streets, centrally located and convenient to everything NYC has to offer. Kitchen, TV, Internet, AppleTV, bathtub, laundry, elevator, and Citibikes on the corner! We will be there off and on but can help with any questions or concerns you have during your stay! Tons of restaurants, bars, outdoor cafes, shopping, theatre, museums, Hudson River Park, The High Line, Meatpacking District, SoHo, all subways, Washington Square Park, Citibikes, Union Square, character, trees, cobblestoned streets, literally the pictures in the guidebook! :) Very very easy. Within 3 blocks: a, c, e, f, m, b, d, 1, 9, and the L","4654046","2013-01-10","within an hour","100%","","t","1.0","{email, phone, reviews, jumio}","t","West Village","Apartment","Private room","1","1.0","1.0","1.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Breakfast,Pets live on this property,Elevator,Buzzer/wireless intercom,Heating,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","3","71.0","99.0","strict","2.68","$105.00"
"20874763","Enjoy your perfect stay in downtown Brooklyn/DUMBO area in this brand new one year old apartment. Location: 8 minutes walk to (A,B,C,F,N,Q,R,W,2,3,4,5) Amenities: You get a queen size bed with drawer and a desk. Living room is shared and you can use the kitchen with two other people.  The apartment has gym, bike storage, lounge with billiards, and 24 hour access to rooftop lounge with barbecue grill.  Don't hesitate to let me know if there are any problems. Located between DUMBO and downtown Brooklyn, the apartment is 15 minutes walk away from Manhattan Bridge. It takes about 25 minutes walk to Brooklyn Bridge too. The room is on 2nd floor. Easy access both with elevator and stairs. Every two weeks, I call a exterminator so the house is bug-free.  Utensils are provided so there will be no problem cooking in the kitchen. There is 24hr. coffee machine with printer. Gym, lounge, rooftop, and all the other amenities are available for 24 hours. You have a wifi all over the building. You get","149882041","2017-09-09","within an hour","100%","","f","1.0","{email, phone, reviews, jumio, offline_government_id, selfie, government_id, identity_manual}","f","Vinegar Hill","Apartment","Private room","2","1.0","1.0","1.0","Real Bed","{Wireless Internet,Air conditioning,Kitchen,Gym,Elevator,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance}","2","1","2.0","100.0","flexible","2.0","$100.00"
"20482231","Comfortable and clean pre-war sanctuary with twin bed.  The apartment has great sunlight,  and is situated in the heart of Brooklyn's tree-lined, brownstone laden Park Slope neighborhood. Experience all of Brooklyn's culture without the pretension.   With many fantastic food options around the corner, Prospect Park only a few blocks away, and an artsy, multi-cultural, emerging affluent demographic, this is the perfect resting and playground for both NYC newcomers and seasoned travelers. Third floor, pre-war walk-up. Hosts are two late twenties professionals; Heather an Equinox Yoga Instructor, and Max, an advertising Art Director. Guests are welcome to use the kitchen and all appliances, as well as the common living space and bathroom. We love to cook, so let us know if you have any specific dietary preferences and we can set aside special utensils and cookware. We are happy to offer our recommendations for any and all of your Brooklyn interests! We are usually busy out of the house, a","10653881","2015-12-01","within an hour","100%","","f","1.0","{email, phone, linkedin, reviews, kba}","t","Park Slope","Apartment","Private room","2","1.0","1.0","1.0","Real Bed","{Wireless Internet,Kitchen,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Private living room,Host greets you}","1","1","1.0","100.0","moderate","1.0","$70.00"
"8272327","A bright spacious studio overlooking a quiet garden on the parlor floor of our carefully restored 1840 historic brownstone. A 6min walk from the subway, you're only 3 stops from Manhattan. Greek revival charm with fully-equipped kitchenette. Welcome! In the heart of Cobble Hill's landmarked district, we have offered a short-term rental since 2006, styled to give a mid-19th century feeling with modern amenities. With its 12' ceilings and original stencils appearing through the colored plaster, the parlor conjures up the romantic charm of the Greek Revival period. Its earth tones make for a restful decor after a day out on the town. The space has a queen size bed and fully-equipped kitchenette. Our street is tree-lined and quiet, yet merely a block away you'll find restaurants and cafes, movie theaters, antiques shops, all kinds of gourmet and Italian food stores, and more. The apartment is independent from the rest of the house. Once we give you the keys, make yourself at home. We live ","38465372","2015-07-14","within a few hours","100%","","t","1.0","{email, phone, reviews, jumio}","f","Cobble Hill","House","Entire home/apt","2","1.0","0.0","1.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Bathtub,Room-darkening shades}","1","3","12.0","98.0","moderate","0.66","$225.00"
"12603268","Private room with a key. 1min walk from 24h grocery+ATM & 6L 110st sta. Piano, musical instruments, pet, OK. Wi-Fi, washer, housekeeper, hair dryer, kitchen, laundry, bike, courtyard, etc. Everything you need is here. S sized dog in the house. 2 Singly size beds work desk closet toilet for only guests near the entrance door chest   TV refrigerator microwave toaster hair dryer e-pot table & chair rice cooker kitchen, living room, shower room, toilet もしご希望があれば､NYの情報を提供いたします｡ 110st 駅  徒歩1分","32321433","2015-05-01","within an hour","100%","","f","5.0","{email, phone, reviews, jumio}","t","East Harlem","Apartment","Private room","2","1.5","1.0","2.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Pets allowed,Pets live on this property,Dog(s),Elevator,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Bathtub}","1","1","22.0","86.0","flexible","1.3","$91.00"
"1304952","Private large room with a kitchen and private bathroom on the third floor in a Landmark Brownstone on a tree lined block in downtown brooklyn. Charming Brownstone bedroom on a private floor. This picturesque landmark block is bookended by beautiful Fort Greene Park and the thriving commercial hub. Barclay Stadium, Restaurant Row, BAM and just 10 mins to manhattan. All trains, and LIRR. Access to Ft. Greene Park is just steps away as is the Saturday Farmer?s Market there. And the A,C,B,G,Q,R,2,3,4,5 trains are all short strolls away. Also the many restaurants and shops that are nearby, from smart boutiques to Target, from 4 star boites to the hippest new spots.","7073209","2013-06-23","within a day","67%","","f","2.0","{email, phone, google, jumio, government_id}","t","Fort Greene","Townhouse","Private room","2","1.0","1.0","1.0","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Dog(s),Indoor fireplace,Laptop friendly workspace,translation missing: en.hosting_amenity_50}","1","2","2.0","40.0","strict","0.12","$120.00"
