"id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_verifications","host_identity_verified","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","guests_included","minimum_nights","cancellation_policy","price"
"241032","956883","2011-08-11","within a few hours","96%","100%","f","3","['email', 'phone', 'reviews', 'kba']","t","47.636289038357184","-122.37102519997765","Apartment","Entire home/apt","4","1.0","1","1","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Heating,Family/Kid Friendly,Washer,Dryer}","2","1","moderate","$85.00"
"953595","5177328","2013-02-21","within an hour","98%","100%","t","6","['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']","t","47.63912312136253","-122.36566646439582","Apartment","Entire home/apt","4","1.0","1","1","Real Bed","{TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Buzzer/Wireless Intercom,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials}","1","2","strict","$150.00"
"3308979","16708587","2014-06-12","within a few hours","67%","100%","f","2","['email', 'phone', 'google', 'reviews', 'jumio']","t","47.629724131577355","-122.3694831756176","House","Entire home/apt","11","4.5","5","7","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Kitchen,Free Parking on Premises,Pets Allowed,Pets live on this property,Dog(s),Cat(s),Hot Tub,Indoor Fireplace,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Essentials,Shampoo}","10","4","strict","$975.00"
"7421966","9851441","2013-11-06","N/A","N/A","N/A","f","1","['email', 'phone', 'facebook', 'reviews', 'jumio']","t","47.638473201766416","-122.36927912263018","Apartment","Entire home/apt","3","1.0","0","2","Real Bed","{Internet,Wireless Internet,Kitchen,Indoor Fireplace,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,Safety Card,Fire Extinguisher,Essentials,Shampoo}","1","1","flexible","$100.00"
"278830","1452570","2011-11-29","within an hour","100%","N/A","f","2","['email', 'phone', 'facebook', 'reviews', 'kba']","t","47.63291840276724","-122.37247063402224","House","Entire home/apt","6","2.0","3","3","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Kitchen,Heating,Family/Kid Friendly,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Fire Extinguisher,Essentials,Shampoo}","6","1","strict","$450.00"
"5956968","326758","2010-12-25","N/A","N/A","N/A","f","1","['email', 'phone', 'facebook', 'reviews', 'kba']","t","47.63052548240193","-122.36617406518855","House","Private room","2","1.0","1","1","Real Bed","{Wireless Internet,Free Parking on Premises,Heating,Smoke Detector,Essentials,Shampoo}","1","1","strict","$120.00"
"1909058","2497928","2012-05-30","within an hour","100%","100%","t","1","['email', 'phone', 'reviews', 'kba']","t","47.63660544532006","-122.36851905844937","House","Private room","2","1.0","1","1","Real Bed","{Wireless Internet,Free Parking on Premises,Heating,Smoke Detector,First Aid Kit,Essentials,Shampoo}","1","3","moderate","$80.00"
"856550","4016632","2012-10-30","within an hour","100%","100%","t","5","['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']","t","47.64016054121466","-122.37585597885769","Cabin","Private room","2","1.0","1","1","Real Bed","{Wireless Internet,Pets live on this property,Dog(s),Heating,Family/Kid Friendly,Essentials,Shampoo}","1","2","strict","$60.00"
"4948745","2166277","2012-04-18","N/A","N/A","100%","f","1","['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']","t","47.63241029982899","-122.35721606914029","Apartment","Private room","2","1.0","1","1","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Kitchen,Breakfast,Indoor Fireplace,Heating,Washer,Dryer,Smoke Detector,First Aid Kit,Fire Extinguisher,Essentials,Shampoo}","1","3","strict","$90.00"
"2493658","5177328","2013-02-21","within an hour","98%","100%","t","6","['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']","t","47.63749172022628","-122.36688859092119","Apartment","Entire home/apt","4","1.0","1","1","Real Bed","{TV,Internet,Wireless Internet,Kitchen,Free Parking on Premises,Buzzer/Wireless Intercom,Heating,Family/Kid Friendly,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials}","1","2","strict","$150.00"
